City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Chokurdakh,RU,2021-10-30 22:30:27,70.6333,147.9167,1.96,97,99,6.58
93,Cidreira,BR,2021-10-30 22:30:46,-30.1811,-50.2056,67.91,88,31,22.5
94,Bafang,CM,2021-10-30 22:30:46,5.1563,10.1788,62.73,95,93,2.93
95,Tchollire,CM,2021-10-30 22:30:47,8.4022,14.1698,74.73,79,94,2.77
96,Tocopilla,CL,2021-10-30 22:30:47,-22.092,-70.1979,66.31,63,11,4.0
97,Lebu,CL,2021-10-30 22:30:48,-37.6167,-73.65,53.06,82,100,13.6
98,Beloha,MG,2021-10-30 22:30:48,-25.1667,45.05,67.01,86,60,11.25
99,Lagoa,PT,2021-10-30 22:30:48,39.05,-27.9833,70.38,84,100,23.17
100,Medea,DZ,2021-10-30 22:30:49,36.2642,2.7539,57.65,42,64,3.96
101,Mount Gambier,AU,2021-10-30 22:30:49,-37.8333,140.7667,51.71,82,40,11.5
102,New Norfolk,AU,2021-10-30 22:30:50,-42.7826,147.0587,58.91,42,91,8.25
103,Port Elizabeth,ZA,2021-10-30 22:30:51,-33.918,25.5701,61.09,94,90,3.44
104,Sur,OM,2021-10-30 22:26:29,22.5667,59.5289,80.33,54,4,6.64
105,Mar Del Plata,AR,2021-10-30 22:30:51,-38.0023,-57.5575,59.09,83,75,7.0
106,Torbay,CA,2021-10-30 22:30:52,47.6666,-52.7314,41.4,80,1,4.61
107,Yellowknife,CA,2021-10-30 22:30:52,62.456,-114.3525,29.41,86,75,5.99
108,Atuona,PF,2021-10-30 22:28:25,-9.8,-139.0333,78.01,65,5,14.79
109,La Ronge,CA,2021-10-30 22:30:34,55.1001,-105.2842,37.65,60,90,11.5
110,Urumqi,CN,2021-10-30 22:30:05,43.801,87.6005,41.95,65,0,4.47
111,Saint-Joseph,RE,2021-10-30 22:30:53,-21.3667,55.6167,68.38,80,56,1.81
112,Acarau,BR,2021-10-30 22:30:54,-2.8856,-40.12,80.2,76,41,11.43
113,Carman,CA,2021-10-30 22:30:55,49.4992,-98.0016,48.54,43,1,9.98
114,Atasu,KZ,2021-10-30 22:30:55,48.6814,71.6433,38.79,63,100,16.71
115,San Patricio,US,2021-10-30 22:30:56,28.017,-97.5169,86.41,23,0,5.32
116,Touros,BR,2021-10-30 22:30:56,-5.1989,-35.4608,79.7,78,53,15.55
117,Chuy,UY,2021-10-30 22:30:57,-33.6971,-53.4616,65.32,88,54,12.35
118,Rabo De Peixe,PT,2021-10-30 22:30:57,37.8,-25.5833,73.27,92,75,13.8
119,Vieques,PR,2021-10-30 22:30:58,18.425,-65.8329,86.02,54,40,6.91
120,Sunrise Manor,US,2021-10-30 22:30:58,36.2111,-115.0731,84.18,24,1,4.61
121,Hami,CN,2021-10-30 22:30:59,42.8,93.45,49.39,45,100,0.4
122,Zabol,AF,2021-10-30 22:30:59,32.25,67.25,46.17,31,0,7.61
123,Tibiri,NE,2021-10-30 22:31:00,13.5627,7.0485,83.95,15,69,9.24
124,Tura,IN,2021-10-30 22:31:01,25.5198,90.2201,62.55,64,0,2.62
125,Kropotkin,RU,2021-10-30 22:31:01,45.4375,40.5756,45.23,75,0,12.59
126,Glens Falls,US,2021-10-30 22:28:26,43.3095,-73.644,57.06,95,90,1.01
127,Cabedelo,BR,2021-10-30 22:29:50,-6.9811,-34.8339,79.47,71,11,16.22
128,Alice Springs,AU,2021-10-30 22:29:44,-23.7,133.8833,62.15,63,90,0.0
129,Klaksvik,FO,2021-10-30 22:31:03,62.2266,-6.589,47.32,92,100,13.82
130,Ust-Kuyga,RU,2021-10-30 22:31:04,70.0167,135.6,-4.83,100,100,7.76
