City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,79,90,18.41,overcast clouds
190,Dalhousie,IN,32.5333,75.9833,44.78,51,0,7.2,clear sky
191,Clyde River,CA,70.4692,-68.5914,19.63,79,75,8.05,broken clouds
192,Praya,CV,14.9215,-23.5087,84.74,58,40,19.57,scattered clouds
193,Victoria,HK,22.2855,114.1577,79.32,86,17,1.99,light rain
194,Bani,DO,18.2833,-70.3333,87.75,59,27,9.6,scattered clouds
195,Mahebourg,MU,-20.4081,57.7,76.24,83,40,11.5,scattered clouds
196,Yangshe,CN,31.8899,120.6052,64.99,94,49,1.01,scattered clouds
197,Cidreira,BR,-30.1811,-50.2056,70.61,82,86,12.03,overcast clouds
198,Bantva,IN,21.4864,70.0689,78.31,32,100,6.13,overcast clouds
199,Pevek,RU,69.7008,170.3133,-5.03,89,90,7.65,overcast clouds
200,Baherden,TM,38.4362,57.4316,43.81,26,97,6.13,overcast clouds
201,Orlik,RU,52.5178,99.825,3.65,91,97,4.0,overcast clouds
202,Kahului,US,20.8947,-156.47,79.84,74,40,11.5,scattered clouds
203,Marivan,IR,35.5219,46.176,51.01,42,1,8.37,clear sky
204,Nikolskoye,RU,59.7035,30.7861,39.87,90,63,6.26,light rain
205,Morelia,MX,19.7008,-101.1844,66.63,48,98,4.94,overcast clouds
206,Bilibino,RU,68.0546,166.4372,-7.26,90,90,3.4,overcast clouds
207,Pamekasan,ID,-7.1568,113.4746,81.7,79,92,3.65,overcast clouds
208,Upata,VE,8.0086,-62.3989,81.55,65,99,6.96,overcast clouds
209,Gondanglegi,ID,-7.7479,112.0132,77.74,88,99,2.26,overcast clouds
210,San Patricio,US,28.017,-97.5169,70.21,47,0,5.84,clear sky
211,Manitouwadge,CA,49.1215,-85.8403,45.32,82,99,10.51,overcast clouds
212,Sinnamary,GF,5.3833,-52.95,81.18,81,98,7.4,light rain
213,Ostersund,SE,63.1792,14.6357,34.61,86,40,19.57,scattered clouds
214,Dzilam Gonzalez,MX,21.2833,-88.9333,80.02,55,25,7.83,scattered clouds
215,Erenhot,CN,43.6475,111.9767,11.8,78,100,6.2,overcast clouds
216,Lourical,PT,40.0039,-8.7374,59.76,47,0,7.54,clear sky
217,Bondoukou,CI,8.0333,-2.8,84.79,62,100,3.22,overcast clouds
218,Whitehorse,CA,60.7161,-135.0538,30.97,100,90,10.0,overcast clouds
219,Narsaq,GL,60.9167,-46.05,32.22,90,100,9.84,overcast clouds
220,Walvis Bay,NA,-22.9575,14.5053,68.95,56,54,14.97,broken clouds
221,Novobirilyussy,RU,56.9514,90.6661,22.96,91,100,11.34,overcast clouds
222,Norman Wells,CA,65.282,-126.8329,24.84,93,75,2.3,broken clouds
223,Saint-Pierre,RE,-21.3393,55.4781,74.88,70,0,9.22,clear sky
224,Sobolevo,RU,54.4299,31.8996,44.78,77,97,19.69,light rain
225,Mizque,BO,-17.941,-65.3402,69.06,67,97,8.16,overcast clouds
226,Tamiahua,MX,21.2667,-97.45,73.76,71,100,7.31,overcast clouds
227,Asau,RO,46.4333,26.4,49.95,57,100,0.67,overcast clouds
228,Sisimiut,GL,66.9395,-53.6735,20.64,65,45,11.7,scattered clouds
